Journal of the Royal Statistical Society: Series B (Methodological)
Journal of the Royal Statistical Society
ACM Trans. Math. Softw.
International Journal of Applied Pattern Recognition
Journal of Graphics Tools
The Annals of Mathematical Statistics
EURASIP Journal on Wireless Communications and Networking
Journal of the Society for Industrial and Applied Mathematics
Journal of computational and applied mathematics
Annali di Matematica Pura ed Applicata (1923 -)
IFAC Proceedings Volumes
Journal f{\"u}r die reine und angewandte Mathematik
The Annals of Mathematical Statistics
Journal of the Society for Industrial and Applied Mathematics Series A Control
John von Neumann, Collected Works
Journal of Advances in Information Fusion
The Annals of Mathematical Statistics
London: ABN-Amro. Re
Statistical science
ACM Transactions on Graphics (TOG)
SIGGRAPH sketches
The Annals of Mathematical Statistics
SeMA Journal
IEEE Robotics \& Automation Magazine
Communications in Statistics-Theory and Methods
ACM Transactions on Graphics (TOG)
SIAM review
Journal of Open Source Software
Extreme Learning
Dolciani Mathematical Expositions
IFAC Proceedings Volumes
International Statistical Review / Revue Internationale de Statistique
Interactive Geometry Lab, ETH Z{\"u}rich, Tech. Rep
Mathematica B (Zutphen)
ETNA. Electronic Transactions on Numerical Analysis [electronic only]
The International Journal of Robotics Research
Cambridge Tracts in Mathematics and Mathematical Physics
Journal of Computational and Applied mathematics
Journal of Open Source Software
Proceedings of the Royal Society of London. Series A, Mathematical and Physical Sciences


